For experiment #1: Vertices = 52, and for Density = 0.25, Time Taken: 0.000000 milliseconds
For experiment #2: Vertices = 27, and for Density = 0.79, Time Taken: 0.000000 milliseconds
For experiment #3: Vertices = 64, and for Density = 0.41, Time Taken: 0.000000 milliseconds
For experiment #4: Vertices = 19, and for Density = 0.64, Time Taken: 0.000000 milliseconds
For experiment #5: Vertices = 81, and for Density = 0.51, Time Taken: 0.000000 milliseconds
For experiment #6: Vertices = 98, and for Density = 0.83, Time Taken: 0.000000 milliseconds
For experiment #7: Vertices = 52, and for Density = 0.37, Time Taken: 0.000000 milliseconds
For experiment #8: Vertices = 68, and for Density = 0.86, Time Taken: 0.000000 milliseconds
For experiment #9: Vertices = 69, and for Density = 0.41, Time Taken: 0.000000 milliseconds
For experiment #10: Vertices = 2, and for Density = 0.68, Time Taken: 0.000000 milliseconds
For experiment #11: Vertices = 59, and for Density = 0.80, Time Taken: 0.000000 milliseconds
For experiment #12: Vertices = 43, and for Density = 0.36, Time Taken: 0.000000 milliseconds
For experiment #13: Vertices = 82, and for Density = 0.15, Time Taken: 0.000000 milliseconds
For experiment #14: Vertices = 37, and for Density = 0.47, Time Taken: 0.000000 milliseconds
For experiment #15: Vertices = 97, and for Density = 0.05, Time Taken: 0.000000 milliseconds
For experiment #16: Vertices = 51, and for Density = 0.22, Time Taken: 0.000000 milliseconds
For experiment #17: Vertices = 42, and for Density = 0.77, Time Taken: 0.000000 milliseconds
For experiment #18: Vertices = 18, and for Density = 0.04, Time Taken: 0.000000 milliseconds
For experiment #19: Vertices = 23, and for Density = 0.64, Time Taken: 0.000000 milliseconds
For experiment #20: Vertices = 20, and for Density = 0.00, Time Taken: 0.000000 milliseconds
For experiment #21: Vertices = 70, and for Density = 0.56, Time Taken: 0.000000 milliseconds
For experiment #22: Vertices = 23, and for Density = 0.06, Time Taken: 0.000000 milliseconds
For experiment #23: Vertices = 23, and for Density = 0.48, Time Taken: 0.000000 milliseconds
For experiment #24: Vertices = 38, and for Density = 0.85, Time Taken: 0.000000 milliseconds
For experiment #25: Vertices = 19, and for Density = 0.14, Time Taken: 0.000000 milliseconds
For experiment #26: Vertices = 40, and for Density = 0.18, Time Taken: 0.000000 milliseconds
For experiment #27: Vertices = 65, and for Density = 0.95, Time Taken: 0.000000 milliseconds
For experiment #28: Vertices = 46, and for Density = 0.92, Time Taken: 0.000000 milliseconds
For experiment #29: Vertices = 47, and for Density = 0.90, Time Taken: 0.000000 milliseconds
For experiment #30: Vertices = 72, and for Density = 0.79, Time Taken: 0.000000 milliseconds
For experiment #31: Vertices = 5, and for Density = 0.63, Time Taken: 0.000000 milliseconds
For experiment #32: Vertices = 99, and for Density = 0.76, Time Taken: 0.000000 milliseconds
For experiment #33: Vertices = 48, and for Density = 0.06, Time Taken: 0.000000 milliseconds
For experiment #34: Vertices = 45, and for Density = 0.06, Time Taken: 0.000000 milliseconds
For experiment #35: Vertices = 82, and for Density = 0.57, Time Taken: 0.000000 milliseconds
For experiment #36: Vertices = 91, and for Density = 0.10, Time Taken: 0.000000 milliseconds
For experiment #37: Vertices = 35, and for Density = 0.30, Time Taken: 0.000000 milliseconds
For experiment #38: Vertices = 7, and for Density = 0.78, Time Taken: 0.000000 milliseconds
For experiment #39: Vertices = 39, and for Density = 0.03, Time Taken: 0.000000 milliseconds
For experiment #40: Vertices = 97, and for Density = 0.18, Time Taken: 0.000000 milliseconds
For experiment #41: Vertices = 78, and for Density = 0.18, Time Taken: 0.000000 milliseconds
For experiment #42: Vertices = 96, and for Density = 0.91, Time Taken: 0.000000 milliseconds
For experiment #43: Vertices = 8, and for Density = 0.84, Time Taken: 0.000000 milliseconds
For experiment #44: Vertices = 11, and for Density = 0.67, Time Taken: 0.000000 milliseconds
For experiment #45: Vertices = 67, and for Density = 0.35, Time Taken: 0.000000 milliseconds
